"","DeviceName","Brand","technology","gprs","edge","announced","status","dimensions","weight","sim","type","size","resolution","display_c","card_slot","alert_types","loudspeaker_","wlan","bluetooth","gps","radio","usb","messaging","browser","java","features_c","battery_c","stand_by","talk_time","colors","sar_us","sar_eu","sensors","cpu","internal_memory","ram_memory","os","body_c","primary_","video","secondary","speed","network_c","chipset","features","music_play","protection","gpu","multitouch","loudspeaker","audio_quality","nfc","camera","display","performance","_2g_bands","_3_5mm_jack_","_3g_bands","_4g_bands","sound_c","camera_c","infrared_port","build","price","sar","phonebook","call_records","clock","alarm","games","memory_c","keyboard"
"1428","Vodafone Smart 4 power","Vodafone","GSM / HSPA / LTE","Yes","Yes","2014, June","Available. Released 2014, June","141 x 71.4 x 9.5 mm (5.55 x 2.81 x 0.37 in)","162 g (5.71 oz)","Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~68.5% screen-to-body ratio)","540 x 960 pixels (~220 ppi pixel density)",NA,"microSD, up to 32 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS","FM radio with RDS","microUSB v2.0","SMS(threaded view), MMS, Email, Push Mail, IM","HTML","No","- Active noise cancellation with dedicated mic
  - MP3/WMA/eAAC+/FLAC player
  - XviD/MP4/H.264 player
  - Document viewer
  - Photo viewer/editor
  - Voice memo/dial","Non-removable Li-Ion 3000 mAh battery",NA,NA,"Black, White",NA,"  0.31 W/kg (head) &nbsp; &nbsp; 0.64 W/kg (body) &nbsp; &nbsp; ","Accelerometer, proximity","Quad-core 1.3 GHz Cortex-A7","4 GB"," 1 GB ","Android OS, v4.4.2 (KitKat)",NA,"5 MP, LED flash","Yes","VGA","HSPA, LTE Cat4 150/50 Mbps",NA,"Mediatek MT6582M","Geo-tagging",NA,NA,"Mali-400MP2","Yes",NA,NA,"Yes",NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 900 / 2100 ","LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1429","Vodafone Smart 4G","Vodafone","GSM / HSPA / LTE","Yes","Yes","2014, October","Available. Released 2014, October","134 x 67.1 x 10.3 mm (5.28 x 2.64 x 0.41 in)","153 g (5.40 oz)","Micro-SIM","IPS LCD capacitive touchscreen, 16M colors","4.5 inches (~62.1% screen-to-body ratio)","540 x 960 pixels (~245 ppi pixel density)",NA,"microSD, up to 32 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","v4.0, A2DP","Yes, with A-GPS","No","microUSB v2.0","SMS(threaded view), MMS, Email, Push Mail, IM","HTML","No","- MP3/WMA/eAAC+ player
  - MP4/H.264 player
  - Document viewer
  - Photo editor","Removable Li-Ion 1880 mAh battery",NA,NA,"Black",NA,NA,"Accelerometer, proximity","Dual-core 1.2 GHz Krait","8 GB"," 1 GB ","Android OS, v4.2.2 (Jelly Bean)",NA,"8 MP, autofocus, LED flash","Yes","1 MP","HSPA, LTE",NA,"Qualcomm MSM8930 Snapdragon 400","Geo-tagging",NA,NA,"Adreno 305","Yes",NA,NA,"Yes (optional)",NA,NA,NA,"GSM 900 / 1800 / 1900 ","Yes","HSDPA 900 / 2100 ","LTE band 3(1800), 7(2600), 20(800)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1430","Vodafone Smart 4 max","Vodafone","GSM / HSPA / LTE","Yes","Yes","2015, January","Available. Released 2015, January","164 x 83.4 x 7.9 mm (6.46 x 3.28 x 0.31 in)","170 g (6.00 oz)","Micro-SIM","IPS capacitive touchscreen, 16M colors","6.0 inches (~72.6% screen-to-body ratio)","720 x 1280 pixels (~245 ppi pixel density)",NA,"microSD, up to 32 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS","To be confirmed","microUSB v2.0","SMS(threaded view), MMS, Email, Push Mail, IM","HTML5","No","- Active noise cancellation with dedicated mic
  - MP3/WMA/eAAC+ player
  - MP4/H.264 player
  - Document viewer
  - Photo/video editor","Non-removable Li-Ion 3000 mAh battery",NA,NA,"Black, White",NA,NA,"Accelerometer, proximity","Quad-core 1.2 GHz Cortex-A7","8 GB"," 1 GB ","Android OS, v4.4.2 (KitKat)",NA,"13 MP, autofocus, LED flash","Yes","2 MP","HSPA, LTE Cat4 150/50 Mbps",NA,"Qualcomm MSM8926 Snapdragon 400","Geo-tagging",NA,NA,"Adreno 305","Yes",NA,NA,"Yes",NA,NA,NA,"GSM 900 / 1800 / 1900 ","Yes","HSDPA 900 / 2100 ","LTE band 3(1800), 7(2600), 20(800)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1431","Motorola MOTOFONE F3","Motorola","GSM","No","No","2006, June","Discontinued","114 x 47 x 9 mm, 48 cc (4.49 x 1.85 x 0.35 in)","70 g (2.47 oz)","Mini-SIM","Alphanumeric","2.2 inches, 34 x 43 mm","2 x 6 chars","- Extra large character font size","No","Vibration; Polyphonic(8) ringtones","No","No","No","No","No","No","SMS","No","No","- Clock
  - Speakerphone","Removable Li-Ion 800 mAh battery","Up to 300 h","Up to 4 h 30 min","Black, Blue, Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM 850 / 1900 - US version",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM 900 / 1800 ","No",NA,NA,NA,"No",NA,NA,NA,NA,"SIM only","20 dialed, received, missed calls",NA,NA,"No",NA,NA
"1432","Motorola MOTOACTV W450","Motorola","GSM","Class 10","No","2008. Released 2008","Discontinued","106 x 45.7 x 18.8 mm (4.17 x 1.80 x 0.74 in)","99 g (3.49 oz)","Mini-SIM","TFT, 65K colors",NA,"128 x 160 pixels","- Second external monochrome display (96 x 80 pixels)","microSD, up to 2 GB","Vibration; Downloadable polyphonic, MP3, AAC, MIDI ringtones","Yes","No","v2.0, A2DP","No","No","miniUSB v2.0","SMS, MMS, Email","WAP 2.0/xHTML","Yes, MIDP 2.0","- ANT+ support
  - Rugged design
  - MP3/AAC/AAC+ player
  - Organizer
  - Voice memo
  - Predictive text input","Removable Li-Ion 850 mAh battery","Up to 249 h","Up to 7 h 30 min","Mandarin Orange, Canary Yellow","  1.23 W/kg (head) &nbsp; &nbsp; 0.46 W/kg (body) &nbsp; &nbsp; ","  0.84 W/kg (head) &nbsp; &nbsp; ",NA,NA,NA,NA,NA,NA,"1.3 MP","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","No",NA,NA,"2.5 mm audio jack",NA,NA,NA,NA,NA,"- 1000 entries, Photocall","40 dialed, 40 received, 40 missed calls",NA,NA,"Yes",NA,NA
"1433","Motorola Motocubo A45","Motorola","GSM","Class 10","Class 10","2009, October","Available. Released 2009, October","82 x 61.5 x 16.6 mm (3.23 x 2.42 x 0.65 in)","110 g (3.88 oz)","Mini-SIM","TFT, 256K colors","2.5 inches (~38.4% screen-to-body ratio)","320 x 240 pixels (~160 ppi pixel density)",NA,"microSD, up to 32 GB, 2 GB included","Vibration; Downloadable polyphonic, MP3 ringtones","Yes","No","v2.0, A2DP","No","Stereo FM radio with RDS; FM recording","microUSB v2.0","SMS, MMS, Email","WAP 2.0/xHTML, HTML","Yes, MIDP 2.0","- MP3/WAV/eAAC+ player
  - MP4/H.263 player
  - Organizer
  - Voice memo/dial
  - Predictive text input","Removable Li-Ion 930 mAh battery (BN60)","Up to 350 h","Up to 8 h 30 min","White","  0.55 W/kg (head) &nbsp; &nbsp; 0.98 W/kg (body) &nbsp; &nbsp; ","  0.36 W/kg (head) &nbsp; &nbsp; ",NA,NA,"32 MB",NA,NA,NA,"2 MP","15-20fps","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"1500 entries, Photocall","20 dialed, 20 received, 20 missed calls",NA,NA,"Yes",NA,"QWERTY"
"1434","Motorola MOTOTV EX245","Motorola","GSM","Yes","Yes","2010, October","Available. Released 2010, October","108 x 58 x 12 mm (4.25 x 2.28 x 0.47 in)","-","Mini-SIM","TFT resistive touchscreen, 65K colors","3.2 inches (~51.4% screen-to-body ratio)","320 x 400 pixels (~160 ppi pixel density)",NA,"microSD, up to 8 GB","Vibration; MP3 ringtones","Yes","No","v2.1, A2DP","No","Stereo FM radio with RDS","microUSB v2.0","SMS, MMS, Email","WAP 2.0/xHTML","Yes, MIDP 2.0","- Mobile TV
  - MP3/WAV/eAAC+ player
  - MP4/H.263 player
  - Organizer
  - Voice memo
  - Predictive text input ","Removable Li-Ion 910 mAh battery","Up to 250 h","Up to 4 h 10 min","Black",NA,NA,NA,NA,NA,NA,NA,NA,"3.15 MP","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"1000 entries, Photocall","Yes",NA,NA,"Yes",NA,NA
"1442","Motorola MOTOKEY XT EX118","Motorola","GSM","Class 10","Class 10","2011, July","Available. Released 2011, July","103 x 60 x 9.9 mm (4.06 x 2.36 x 0.39 in)","92 g (3.25 oz)","Mini-SIM","TFT capacitive touchscreen, 256K colors","2.4 inches (~28.9% screen-to-body ratio)","320 x 240 pixels (~167 ppi pixel density)",NA,"microSD, up to 32 GB","Vibration; MP3 ringtones","Yes","No","v2.1, A2DP, EDR","No","Stereo FM radio with RDS","microUSB v2.0","SMS, MMS, Email, IM","WAP 2.0/xHTML","Yes, MIDP 2.0","- SNS applications
  - MP3/WAV/AAC player
  - MP4/H.263 player
  - Organizer
  - Voice memo
  - Predictive text input","Removable Li-Ion 910 mAh battery","Up to 200 h","Up to 4 h 10 min","White, Black","  1.59 W/kg (head) &nbsp; &nbsp; 1.14 W/kg (body) &nbsp; &nbsp; ",NA,NA,NA,"50 MB",NA,NA,NA,"3.15 MP","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"1000 entries, Photocall","Yes",NA,NA,"Yes",NA,"QWERTY"
"1443","Motorola MOTOKEY Mini EX108","Motorola","GSM","Class 10","Class 10","2011, June","Available. Released 2011, June","102 x 59.5 x 12.8 mm (4.02 x 2.34 x 0.50 in)","87 g (3.07 oz)","Mini-SIM","TFT, 65K colors","2.0 inches (~20.7% screen-to-body ratio)","220 x 176 pixels (~141 ppi pixel density)",NA,"microSD, up to 32 GB, 2 GB included","Vibration; Polyphonic(64) ringtones","Yes","No","v2.1, A2DP, EDR","No","Stereo FM radio with RDS, FM recording","microUSB v2.0","SMS(threaded view), MMS, Email","WAP 2.0/xHTML","Yes","- SNS applications
  - MP3/AAC/WAV player
  - MP4/H.263 player
  - Photo editor
  - Organizer
  - Voice memo
  - Predictive text input","Removable Li-Ion 750 mAh battery",NA,"Up to 8 h","White","  1.44 W/kg (head) &nbsp; &nbsp; 1.03 W/kg (body) &nbsp; &nbsp; ",NA,NA,NA,"50 MB",NA,NA,NA,"2 MP","@14fps","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Photocall","Yes",NA,NA,"Yes",NA,"QWERTY"
"1444","Motorola MOTOKEY Mini EX109","Motorola","GSM","Class 10","Class 10","2011, August","Available. Released 2011, August","102 x 59.5 x 12.8 mm (4.02 x 2.34 x 0.50 in)","87 g (3.07 oz)","Dual SIM (Mini-SIM, dual stand-by)","TFT","2.0 inches (~20.7% screen-to-body ratio)","220 x 176 pixels (~141 ppi pixel density)",NA,"microSD, up to 32 GB, 2 GB included","Vibration; Polyphonic(64) ringtones","Yes","No","v2.1, A2DP, EDR","No","Stereo FM radio","microUSB v2.0","SMS, MMS, Email, IM","WAP 2.0/xHTML","Yes","- SNS applications
  - MP3/AAC/WAV player
  - MP4/H.263 player
  - Photo editor
  - Organizer
  - Voice memo
  - Predictive text input","Removable Li-Ion 750 mAh battery","Up to 500 h","Up to 8 h 20 min","Brown","  1.44 W/kg (head) &nbsp; &nbsp; 1.03 W/kg (body) &nbsp; &nbsp; ",NA,NA,NA,"50 MB",NA,NA,NA,"2 MP","@14fps","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"200 entries, Photocall","Yes",NA,NA,"Yes",NA,"QWERTY"
"1445","Motorola Motokey Social","Motorola","GSM / HSPA","Class 10","Class 10","2011, November","Available. Released 2011, November","105.5 x 60 x 9.9 mm (4.15 x 2.36 x 0.39 in)","87 g (3.07 oz)","Mini-SIM","TFT touchscreen, 256K colors","2.4 inches (~28.2% screen-to-body ratio)","320 x 240 pixels (~167 ppi pixel density)",NA,"microSD, up to 32 GB","Vibration; MP3 ringtones","Yes","Wi-Fi 802.11 b/g","v2.1, A2DP, EDR","No","Stereo FM radio with RDS","microUSB v2.0","SMS(threaded view), MMS, Email, Push Email, IM","WAP 2.0/xHTML","Yes, MIDP 2.0","- Facebook dedicated key
  - SNS integration
  - MP3/WAV/AAC player
  - MP4/H.263 player
  - Organizer
  - Voice memo
  - Predictive text input","Removable Li-Ion 910 mAh battery","Up to 672 h","Up to 8 h","Smoke Gray",NA,NA,NA,NA,"50 MB"," 64 MB ",NA,NA,"3.15 MP","@30fps","No","HSPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 850 / 1900 ",NA,NA,NA,NA,NA,NA,NA,"Yes, Photocall","Yes",NA,NA,"Yes + downloadable",NA,"QWERTY"
"1447","Motorola Motoluxe","Motorola","GSM / HSPA","Class 12","Class 12","2012, January","Available. Released 2012, March","117.7 x 60.5 x 9.9 mm (4.63 x 2.38 x 0.39 in)","123.6 g (4.34 oz)","Mini-SIM","TFT capacitive touchscreen","4.0 inches (~61.9% screen-to-body ratio)","480 x 854 pixels (~245 ppi pixel density)","- Touch sensitive controls
  - Moto Switch UI","microSD, up to 32 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","v3.0, A2DP, EDR","Yes, with A-GPS","Stereo FM radio with RDS","microUSB v2.0","SMS (threaded view), MMS, Email, IM, Push Email","HTML5, Adobe Flash","Yes, via Java MIDP emulator","- MP3/WAV/WMA/AAC+ player
  - Divx/MP4/WMV/H.264 player
  - Document viewer
  - Photo viewer/editor
  - Organizer
  - Voice memo/dial
  - Predictive text input","Removable Li-Ion 1400 mAh battery","Up to 450 h (2G) / Up to 400 h (3G)","Up to 6 h 30 min (2G) / Up to 4 h 30 min (3G)","Licorice, white","  1.17 W/kg (head) &nbsp; &nbsp; 1.13 W/kg (body) &nbsp; &nbsp; ",NA,"Accelerometer, proximity, compass","800 MHz Cortex-A5","1 GB"," 512 MB ","Android OS, v2.3.7 (Gingerbread)",NA,"8 MP, autofocus, LED flash","480p","VGA","HSPA 7.2/5.76 Mbps","HSDPA 850 / 2100 ","Qualcomm MSM7227A-0 Snapdragon S1","Geo-tagging",NA,NA,"Adreno 200","Yes",NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 900 / 2100 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1448","Motorola Motosmart Flip XT611","Motorola","GSM / HSPA","Class 12","Class 12","2012, March","Available. Released 2012, March","110 x 58.5 x 13.9 mm / 14.4 mm (w/ NFC)","110 g (3.88 oz)","Mini-SIM","TFT capacitive touchscreen, 256K colors","3.2 inches (~47.4% screen-to-body ratio)","320 x 480 pixels (~180 ppi pixel density)","- Handwriting recognition","microSD, up to 32 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, hotspot","v3.0, A2DP","Yes, with A-GPS","No","microUSB v2.0","SMS(threaded view), MMS, Email, IM","HTML, Adobe Flash","Yes, via Java MIDP emulator","- MP3/WAV/AAC+ player
  - MP4/DivX/Xvid/H.264/WMV player
  - Document viewer
  - Photo viewer
  - Organizer
  - Voice memo/dial
  - Predictive text input","Removable Li-Ion 1540 mAh battery","Up to 500 h (2G) / Up to 400 h (3G)","Up to 10 h (2G) / Up to 6 h (3G)","Black",NA,NA,"Accelerometer, proximity","800 MHz","512 MB"," 512 MB ","Android OS, v2.3 (Gingerbread)",NA,"5 MP, autofocus, LED flash","480p@26-30fps","VGA","HSPA","HSDPA 850 / 2100 ","Qualcomm MSM7227T-1 Snapdragon S1","Geo-tagging",NA,NA,"Adreno 200","Yes",NA,NA,"Optional",NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 850 / 1900 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1449","Motorola MotoGO EX430","Motorola","GSM / HSPA","Class 12","Class 12","2012, May","Available. Released 2012, Q4","104 x 63.9 x 13 mm (4.09 x 2.52 x 0.51 in)","100 g (3.53 oz)","Mini-SIM","TFT, 256K colors","2.2 inches (~22.6% screen-to-body ratio)","320 x 240 pixels (~182 ppi pixel density)",NA,"microSD, up to 32 GB, 2 GB included","Vibration; MP3 ringtones","Yes","Wi-Fi 802.11 b/g","v2.1, A2DP, EDR","Yes","FM radio","microUSB v2.0","SMS, MMS, Email, IM","WAP 2.0/xHTML",NA,"- SNS integration
  - MP3/WAV/AAC player
  - MP4/H.263 player
  - Organizer
  - Voice memo
  - Predictive text input","Removable Li-Ion 910 mAh battery","Up to 350 h","Up to 5 h","White",NA,NA,NA,"MTK 6276W","50 MB",NA,NA,NA,"2 MP","Yes","No","HSPA 7.2/0.384 Mbps",NA,NA,"Geo-tagging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 850 / 2100 ",NA,NA,NA,NA,NA,NA,NA,"Yes, Photocall","Yes",NA,NA,"Yes",NA,"QWERTY"
"1450","Motorola MOTOSMART MIX XT550","Motorola","GSM / HSPA","Yes","Yes","2012, May","Available. Released 2012, October","118 x 67.3 x 11.9 mm (4.65 x 2.65 x 0.47 in)","131.5 g (4.62 oz)","Mini-SIM","TFT capacitive touchscreen, 256K colors","4.0 inches (~60.0% screen-to-body ratio)","320 x 480 pixels (~144 ppi pixel density)",NA,"microSD, up to 32 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, hotspot","Yes","Yes, with A-GPS","No","microUSB v2.0","SMS(threaded view), MMS, Email, Push Email, IM","HTML5, Adobe Flash","Yes, via Java MIDP emulator","- MP3/WAV/AAC+ player
  - MP4/H.264/WMV player
  - Document viewer
  - Photo viewer
  - Organizer
  - Voice memo/dial
  - Predictive text input","Removable Li-Ion 1735 mAh battery","Up to 300 h","Up to 10 h","Blak/White",NA,NA,"Accelerometer, proximity, compass","800 MHz Cortex-A5","512 MB RAM",NA,"Android OS, v2.3.6 (Gingerbread)",NA,"3.15 MP","Yes","VGA","HSPA",NA,"Qualcomm MSM7225A Snapdragon S1","Geo-tagging","Up to 30 h",NA,"Adreno 200","Yes",NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 2100 ",NA,"- Dolby Mobile
  - SRS audio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1451","Motorola MOTOKEY 3-CHIP EX117","Motorola","GSM","Class 10","Class 10","2012, May","Available. Released 2012, June","102 x 59 x 12.8 mm (4.02 x 2.32 x 0.50 in)","87 g (3.07 oz)","Triple SIM (Mini-SIM)","TFT, 256K colors","2.0 inches (~20.9% screen-to-body ratio)","220 x 176 pixels (~141 ppi pixel density)",NA,"microSD, up to 32 GB, 2 GB included","Vibration; MP3 ringtones","Yes","No","v2.1, A2DP, EDR","No","Stereo FM radio","Yes","SMS, MMS, Email, IM","WAP 2.0/xHTML","No","- SNS applications
  - Facebook dedicated key
  - MP3/WAV/AAC+ player
  - MP4/H.264 player
  - Organizer
  - Document viewer
  - Voice memo
  - Predictive text input","Removable Li-Ion 750 mAh battery","Up to 400 h","Up to 3 h","Brown, White","  0.72 W/kg (head) &nbsp; &nbsp; 0.72 W/kg (body) &nbsp; &nbsp; ",NA,NA,NA,"50 MB"," 64 MB ",NA,NA,"2 MP","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2  & SIM 3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"1000 entries, Photocall","Yes",NA,NA,"Yes",NA,"QWERTY"
"1452","Motorola Motoluxe XT389","Motorola","GSM / HSPA","Class 12","Class 12","2012, Q2","Available. Released 2012, Q2","116 x 63.5 x 11 mm (4.57 x 2.5 x 0.43 in)","98 g (3.46 oz)","Mini-SIM","TFT capacitive touchscreen","3.5 inches (~49.5% screen-to-body ratio)","320 x 480 pixels (~165 ppi pixel density)","- Touch sensitive controls","microSD, up to 32 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP, LE","Yes, with A-GPS","No","microUSB v2.0","SMS (threaded view), MMS, Email, IM, Push Email","HTML","Yes, via Java MIDP emulator","- MP3/WAV/WMA/AAC+ player
  - Divx/MP4/WMV/H.264 player
  - Document viewer
  - Photo viewer/editor
  - Organizer
  - Voice memo/dial
  - Predictive text input","Removable Li-Ion battery","Up to 260 h","Up to 5 h","White, Black","  1.29 W/kg (head) &nbsp; &nbsp; 1.27 W/kg (body) &nbsp; &nbsp; ",NA,"Accelerometer, proximity, compass","800 MHz Cortex-A9","512 MB"," 512 MB ","Android OS, v2.3.6 (Gingerbread)",NA,"3.15 MP","480p@30fps","No","HSPA 7.2/5.76 Mbps","HSDPA 850 / 1900 ","Mediatek MT6573","Geo-tagging",NA,NA,"PowerVR SGX531","Yes",NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 850 / 2100 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1453","Motorola Motoluxe MT680","Motorola","GSM","Class 10","Class 10","2012, June","Available. Released 2012, June","119.5 x 61.8 x 10.4 mm (4.70 x 2.43 x 0.41 in)","136 g (4.80 oz)","Mini-SIM","TFT capacitive touchscreen, 16M colors","4.0 inches (~61.7% screen-to-body ratio)","480 x 800 pixels (~233 ppi pixel density)",NA,"microSD, up to 32 GB","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, hotspot","v2.1, A2DP, EDR","Yes, with A-GPS","No","microUSB v2.0","SMS(threaded view), MMS, Email, Push Email, IM","HTML","Yes, via Java MIDP emulator","- MP3/WAV/AAC+ player
  - MP4/H.264/WMV player
  - Document viewer
  - Photo editor
  - Organizer
  - Voice memo/dial
  - Predictive text input","Removable Li-Ion 1390 mAh battery","Up to 180 h","Up to 5 h","White, Black","  1.17 W/kg (head) &nbsp; &nbsp; 1.13 W/kg (body) &nbsp; &nbsp; ",NA,"Accelerometer, proximity, compass","1.0 GHz","1 GB"," 512 MB ","Android OS, v2.3.7 (Gingerbread)",NA,"5 MP, autofocus, LED flash","480p@30fps","No","HSPA",NA,"Marvell PXA920H","Geo-tagging",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"GSM 900 / 1800 / 1900 ","Yes"," TD-SCDMA 1880/2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1454","Motorola Motosmart Me XT303","Motorola","GSM / HSPA","Yes","Yes","2012","Available. Released 2012, Q2","110 x 59.4 x 11.9 mm (4.33 x 2.34 x 0.47 in)","107 g (3.77 oz)","Mini-SIM","TFT capacitive touchscreen, 256K colors","3.2 inches (~46.7% screen-to-body ratio)","320 x 480 pixels (~180 ppi pixel density)","- Touch sensitive controls","microSD, up to 32 GB, 8 GB included","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS","Stereo FM radio with RDS","microUSB v2.0","SMS (threaded view), MMS, Email, IM, Push Email","HTML","Yes, via Java MIDP emulator","- MP3/WAV/WMA/AAC+ player
  - MP4/WMV/H.264 player
  - Document viewer
  - Photo viewer/editor","Removable Li-Ion 1500 mAh battery","Up to 180 h (2G) / Up to 250 h (3G)","Up to 6 h","Black, White",NA,NA,"Accelerometer, proximity","800 MHz Cortex-A9","512 MB"," 256 MB ","Android OS, v2.3 (Gingerbread)",NA,"2 MP","Yes","No","HSPA","HSDPA 850 / 2100 ","Mediatek MT6573","Geo-tagging",NA,NA,"PowerVR SGX531","Yes",NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 850 / 1900 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1455","Motorola MotoGO TV EX440","Motorola","GSM","Yes","Yes","2012, July","Available. Released 2012, July","110.2 x 62 x 12.4 mm (4.34 x 2.44 x 0.49 in)","87 g (3.07 oz)","Dual SIM (Mini-SIM)","TFT capacitive touchscreen, 256K colors","3.2 inches (~46.4% screen-to-body ratio)","-","- Touch sensitive controls","microSD, up to 32 GB, 2 GB included","Vibration; MP3, WAV ringtones","Yes","Wi-Fi 802.11 b/g","v2.1, A2DP, EDR","No","Stereo FM radio","microUSB v2.0","SMS (threaded view), MMS, Email, IM, Push Email","HTML","Yes","- Digital & analogue TV
  - MP3/WAV/AAC player
  - MP4/H.264 player
  - Photo viewer
  - Organizer
  - Voice memo/dial
  - Predictive text input","Removable Li-Ion 910 mAh battery","Up to 400 h","Up to 6 h","Black",NA,NA,"Accelerometer, proximity","312 MHz","128 MB ROM"," 50 MB ",NA,"- Dust, dirt and water resistant","3.15 MP","Yes","No",NA,NA,NA,NA,"Up to 40 h",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes, Photocall","Yes",NA,NA,"Yes + downloadable",NA,NA
